DLL Identifier (Author),Authorized Name,Language,Variant
A4679,"Thegan, Chorepiscopus of Trier, approximately 800-",Latin,Theganus Treverensis apie 800-849 ar 852
A4679,"Thegan, Chorepiscopus of Trier, approximately 800-",Latin,"Theganus Treverensis, m.c. 843"
A4679,"Thegan, Chorepiscopus of Trier, approximately 800-",Latin,"Theganus Trevirensis sacerdos, rerum gestarum scriptor, scriptorque Francus"
A4679,"Thegan, Chorepiscopus of Trier, approximately 800-",Latin,"Theganus, Trevirensis, -ca. 850"
A4680,Caesius Bassus,Latin,"Bassus, Caesius"
A4680,Caesius Bassus,Latin,"Bassus, Caesius, sec. I"
A4680,Caesius Bassus,Latin,Caesius Bassus -79
A4680,Caesius Bassus,Latin,Caesius Bassus 1st cent
A4680,Caesius Bassus,Latin,"Caesius Bassus, 00..-00.., poète"
A4680,Caesius Bassus,Latin,"Caesius Bassus, 1st cent"
A4680,Caesius Bassus,Latin,Cesio Basso
A4680,Caesius Bassus,Latin,Gaius Caesius Bassus
A4681,"Raoul, de Caen, 1080-1120",Latin,Radulfus Cadomensis
A4681,"Raoul, de Caen, 1080-1120",Latin,Radulfus Cadomensis 1080-1120
A4681,"Raoul, de Caen, 1080-1120",Latin,Ralph of Caen
A4681,"Raoul, de Caen, 1080-1120",Latin,Raoul 1080-1120 de Caen
A4681,"Raoul, de Caen, 1080-1120",Latin,Raoul av Caen
A4681,"Raoul, de Caen, 1080-1120",Latin,Raoul de Caen
A4681,"Raoul, de Caen, 1080-1120",Latin,"Raoul de Caen, 1080?-1131"
A4681,"Raoul, de Caen, 1080-1120",Latin,"Raoul, de Caen"
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudius Caecus, Appius, 0340?-0273? av. J. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudies Caecus, Appius, 0340?-0273? av. J. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudius Caecus, Appius, 0340?-0273? av. m. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudius Cbecus, Appius, 0340?-0273? av. J. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudius Cakcus, Appius, 0340?-0273? av. J. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudius Caecvs, Appius, 0340?-0273? av. J. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudius Caecus, Appius, 0340?-0273? av. J. C."
A4682,"Claudius Caecus, App. (Appius)",Latin,"Claudiis Coecus, Appius, 0340?-0273? av. J. C."
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,"Brutus, M. Junius (Marcus Junius) fl. 146-136 B.C"
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,"Brutus, M. Junius fl. 146-136 B.C"
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,Marcus Iunius Brutus
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,Marcus Iunius Brutus [iur.]
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,"Brutus, M. Junius (Marcus Junius) fl. 146-136 B.C"
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,"Brutus, M. Junius fl. 146-136 B.C"
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,Marcus Iunius Brutus
A4683,"Brutus, M. Junius (Marcus Junius), active 146 B.C.-136 B.C.",Latin,Marcus Iunius Brutus [iur.]
A4684,"Cornelia, mother of the Gracchi",Latin,Cornelia
A4684,"Cornelia, mother of the Gracchi",Latin,Cornelia Africana
A4684,"Cornelia, mother of the Gracchi",Latin,"Cornelia, mater Gracchorum"
A4684,"Cornelia, mother of the Gracchi",Latin,"Cornélie, 0190-0102? av. J.-C., mère des Gracques"
A4684,"Cornelia, mother of the Gracchi",Latin,"Cornélie, 0190-0102? av. J.-C., mère des Gracques"
A4684,"Cornelia, mother of the Gracchi",Latin,Cornelia Africana
A4684,"Cornelia, mother of the Gracchi",Latin,Cornelia
A4684,"Cornelia, mother of the Gracchi",Latin,"Cornelia, mater Gracchorum"
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,Clemens Maydestone
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,Clemens Maydestone sacerdos et theologus Anglicus
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,"Maydeston, Clement"
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,"Maydeston, Clement, 1390-1456"
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,"Maydeston, Clement, 1390-c. 1456"
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,"Maydeston, Clement, 1390-ca. 1456"
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,"Maydeston, Clement, 1390-environ 1456"
A4685,"Maydeston, Clement, 1390-approximately 1456",Latin,"Maydeston, Clemente (1390-1456)."
A4686,"Radolf, of Liège",Latin,Leodiensis Radulfus
A4686,"Radolf, of Liège",Latin,Radolf of Liège
A4686,"Radolf, of Liège",Latin,"Radolf, of Liège"
A4686,"Radolf, of Liège",Latin,Radulfus Leodiensis
A4686,"Radolf, of Liège",Latin,Radulfus Leodiensis -1048
A4686,"Radolf, of Liège",Latin,Radulphus Leodiensis 09..-10.. écolâtre
A4686,"Radolf, of Liège",Latin,Radulfus Leodiensis
A4686,"Radolf, of Liège",Latin,"Radolf, of Liège"
A4686,"Radolf, of Liège",Latin,Radolf of Liège
A4686,"Radolf, of Liège",Latin,Leodiensis Radulfus
A4686,"Radolf, of Liège",Latin,Radulfus Leodiensis -1048
A4686,"Radolf, of Liège",Latin,Radulphus Leodiensis 09..-10.. écolâtre
A4687,Ateius Praetextatus L. (Lucius),Latin,Ateius Praetextatus L. (Lucius)
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L. (Lucius), active 86 B.C.-29 B.C."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L. active 86 B.C.-29 B.C."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L.(Lucius), 86-29 B.C."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, Lucius v1. Jh."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L. active 86 B.C.-29 B.C."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, Lucius v1. Jh."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L.(Lucius), 86-29 B.C."
A4687,Ateius Praetextatus L. (Lucius),Latin,"Ateius Praetextatus, L. (Lucius), active 86 B.C.-29 B.C."
A4687,Ateius Praetextatus L. (Lucius),Latin,Ateius Praetextatus L. (Lucius)
A4688,Pseudo-Cicero,Latin,"Cicero, Pseudo-"
A4688,Pseudo-Cicero,Latin,Pseudo Cicerón
A4688,Pseudo-Cicero,Latin,Pgeudo Cicekón
A4688,Pseudo-Cicero,Latin,"Cicero, Pseudo-"
A4688,Pseudo-Cicero,Latin,Pseuko Cicerón
A4688,Pseudo-Cicero,Latin,Pseudo Ciaerón
A4688,Pseudo-Cicero,Latin,Pseudo Cicerón
A4688,Pseudo-Cicero,Latin,Pseudo Cdcerón
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Guilelmus de Tyro ca. 1130-1186
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Guilelmus de Tyro, c. 1130-c. 1190"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Guilelmus Tyricus erkebiskop av Tyr
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Guilelmus, arciv. di Tyrus, c. 1130-c. 1190"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Guillaume de Tyr
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Guillaume de Tyr (około 1130-około 1190).
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Guillaume de Tyr, 1130?-1186"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Guillaume, de Tyr, archevêque de Tyr, environ 1130-environ 1190"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Guillaume, de Tyr, ca. 1130-1186"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Guillaume, Tüürose peapiiskop, u.1130-1186."
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Vilém z Tyru, tyrský arcibiskup, asi 1130-asi 1186"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Vilhjálmur, erkibiskup í Týros, 1130-1184?"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"Wilhelm Tyros, Erzbischof 1130-1186"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Wilhelm z Tyru (ok. 1130-ok. 1190)
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Willelmus Tyrensis
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,Willelmus Tyrus Archiepiscopus
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,William of Tyre
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"William of Tyre, Archbishop of Tyre ca. 1130-ca. 1190"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"William, ca. 1130-ca. 1190"
A4689,"William, of Tyre, Archbishop of Tyre, approximately 1130-approximately 1190",Latin,"William, of Tyre, Archbishop of Tyre, ca. 1130-ca. 1190"
A4690,"Constantine, of St. Symphorian",Latin,"Constantine, Abbot of St. Symphorian"
A4690,"Constantine, of St. Symphorian",Latin,"Constantine, of St. Symphorian"
A4690,"Constantine, of St. Symphorian",Latin,Constantinus Sancti Symphoriani -1024
A4690,"Constantine, of St. Symphorian",Latin,Constantinus Sancti Symphoriani -1024
A4690,"Constantine, of St. Symphorian",Latin,"Constantine, Abbot of St. Sympqorian"
A4690,"Constantine, of St. Symphorian",Latin,"Constantine, Abbot of St. Symphorian"
A4690,"Constantine, of St. Symphorian",Latin,"Constantine, of St. Symphorian"
A4690,"Constantine, of St. Symphorian",Latin,"Constantine, Ajbot of St. Symphbrian"
A4691,"Navagero, Andrea",Latin,"Andrea Navagero poeta, oratore e botanico italiano"
A4691,"Navagero, Andrea",Latin,Andreas Naugerius
A4691,"Navagero, Andrea",Latin,"Naugerius, A."
A4691,"Navagero, Andrea",Latin,"Naugerius, Andreas, 1483-1529"
A4691,"Navagero, Andrea",Latin,"Navagero, Andreas, 1483-1529"
A4691,"Navagero, Andrea",Latin,"Navagero, Andres, 1483-1529"
A4691,"Navagero, Andrea",Latin,"Navagero, Andreas, 1483-1529"
A4691,"Navagero, Andrea",Latin,"Andrea Navagero poeta, oratore e botanico italiano"
A4691,"Navagero, Andrea",Latin,"Naugerius, Andreas, 1483-1529"
A4691,"Navagero, Andrea",Latin,"Navagero, Andres, 1483-1529"
A4691,"Navagero, Andrea",Latin,Andreas Naugerius
A4691,"Navagero, Andrea",Latin,"Naugerius, A."
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,"Godefredus, prior Wintoniensis"
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godefrid of Winchester
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godefridus Wintoniensis
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godfrey approximately 1050-1107 of Winchester
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godfrey of Winchester
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,"Godfrey, of Winchester, ca. 1050-1107"
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,"Gottfried Winchester, Prior 1050-1107"
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godfrey approximately 1050-1107 of Winchester
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,"Gottfried Winchester, Prior 1050-1107"
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,"Godefredus, prior Wintoniensis"
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godfrey of Winchester
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,"Godfrey, of Winchester, ca. 1050-1107"
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godefridus Wintoniensis
A4692,"Godfrey, of Winchester, approximately 1050-1107",Latin,Godefrid of Winchester
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,"Faba, Guido"
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,"Faba, Guido, c. 1190-c. 1243"
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,"Fava, Guido ca.1190-ca.1245"
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,"Fava, Guido, aproximadament 1190-aproximadament 1245"
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,"Fava, Guido, environ 1190-environ 1245"
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,Guido ca. 13. Jh Faba
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,Guido Faba 1190-1248
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,Guido Faba 1190?-1250?
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,"Guido Faba, 1190?-1245?"
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,Guido Fava
A4693,"Fava, Guido, approximately 1190-approximately 1245",Latin,Guido Fava scrittore italiano
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Di Garlandia, Giovanni‏"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Garlande, Jean de, c. 1195-c. 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,Ioannes : de Garlandia
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,Ioannes de Garlandia
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Iohannes de Garlandia, c. 1195-c. 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Jean de Garlande, 1195?-1272?"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Jean de Garlande, c. 1195-c. 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Jean, de Garlande, ca. 1195-ca. 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Jean, de Garlande, environ 1195-environ 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,Joannes de Garlandia
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,Joannes de Garlandia (około 1195-1272).
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,Johannes de Garlandia 1195-1272
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,Johannes de Garlandia apie 1195-apie 1272
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Johannes de Garlandia, asi 1195-asi 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"Johannes, de Garlandia, ca. 1195-ca. 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"John of Garland (English  philologist, ca. 1190- ca. 1270)"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,John of Garland (ok. 1195-ok. 1272)
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"John of Garland, 1195-1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"John, of Garland, aproximadament 1195-aproximadament 1272"
A4694,"John, of Garland, approximately 1195-approximately 1272",Latin,"John, of Garland, ca. 1195-ca. 1272"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Borbonius, Nicolaus"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Borbonius, Nicolaus 1503c-1550p"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Borbonius, Nicolaus, 1503-1550"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Bourbon, Nicolas"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Bourbon, Nicolas der Ältere 1503-1550"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Bourbon, Nicolas, 1503-1550"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Bourbon, Nicolas, 1503?-1550?"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Bourbon, Nicolas, asi 1503-asi 1550"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Bourbon, Nicolas, d.ä. 1503-1550"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,Nicholas Bourbon
A4695,"Bourbon, Nicolas, 1503-1550",Latin,Nicolas Bourbon poète français
A4695,"Bourbon, Nicolas, 1503-1550",Latin,"Nicolas Bourbon, the elder"
A4695,"Bourbon, Nicolas, 1503-1550",Latin,Nicolaus Borbonius
A4696,"Achardus, of Arroasia",Latin,Achardus‏ ‎Arroasiensis
A4696,"Achardus, of Arroasia",Latin,Achardus de Arroasia
A4696,"Achardus, of Arroasia",Latin,Achardus de Arroasia ca. 12. Jh.
A4696,"Achardus, of Arroasia",Latin,"Achardus, of Arroasia"
A4696,"Achardus, of Arroasia",Latin,Achardus de Arroasia ca. 12. Jh.
A4696,"Achardus, of Arroasia",Latin,Achardus de Arroasia
A4696,"Achardus, of Arroasia",Latin,"Achardus, of Arroasia"
A4696,"Achardus, of Arroasia",Latin,Achardus‏ ‎Arroasiensis
A4697,"Holberg, Ludvig",Latin,"Holberg, L. 1684-1754 Ludvig"
A4697,"Holberg, Ludvig",Latin,"Holberg, Ludvig 1684–1754 baronas"
A4697,"Holberg, Ludvig",Latin,"Holberg, Ludvig, 1684-1754."
A4697,"Holberg, Ludvig",Latin,"Holberg, Ludvig, 1684-1756"
A4697,"Holberg, Ludvig",Latin,"Holberg, Ludvig, Barón, 1684-1754"
A4697,"Holberg, Ludvig",Latin,"Holberg, Ludwig, 1684-1754"
A4697,"Holberg, Ludvig",Latin,Ludovicus Holbergius
A4697,"Holberg, Ludvig",Latin,Ludvig Holberg epokegørende dansk-norsk forfatter (1684–1754)
A4698,"Gregorius, Magister",Latin,Gregorius  <maestro>
A4698,"Gregorius, Magister",Latin,Gregorius Magister Anglicus
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister"
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister, 12e/13e eeuw"
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister, pélerin"
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister."
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister, 12e/13e eeuw"
A4698,"Gregorius, Magister",Latin,Gregorius  <maestro>
A4698,"Gregorius, Magister",Latin,Gregorius Magister Anglicus
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister"
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister."
A4698,"Gregorius, Magister",Latin,"Gregorius, Magister, pélerin"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcand, Hugues, 12e eeuw"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcando, Ugo"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, -1176"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, -environ 1200"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, 11..-1200?"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, sec. XII-XIII"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, -environ 1200"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, sec. XII-XIII"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, 11..-1200?"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcand, Hugues, 12e eeuw"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcandus, Hugo, -1176"
A4699,"Falcando, Ugo, -approximately 1200",Latin,"Falcando, Ugo"
A4700,"Leo, Archipresbyter, active 10th century",Latin,Archipresbyter Leo
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leo
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leo : Neapolitanus
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo Archipresbyter, 10. saj."
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo Archipresbyter, činný 10. století"
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leo Archipresbyter.
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leo Neapolitanus
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leo of Naples
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leo von Neapel ca. 10. Jh.
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo, Archipresbyter, 10th century"
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo, archipresbyter, 900-talet"
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo, archiprêtre de Naples"
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo, Arcipreste"
A4700,"Leo, Archipresbyter, active 10th century",Latin,"Leo, Neapolitanus, 10e eeuw"
A4700,"Leo, Archipresbyter, active 10th century",Latin,Leone Arciprete
A4701,"Calvus, C. Licinius Macer",Latin,"Calvo, Gaio Licinio Macro, 82-47 a.C."
A4701,"Calvus, C. Licinius Macer",Latin,"Calvo, Licinio Cayo"
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Caius Licinius Macer (82-47 p.n.e.)."
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Caius Licinius Macer 0082-0047 av. J.-C."
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Caius Licinius Macer, 0082 av. J.C.-0047 av. J.C."
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Caius Licinius Macer, 82-47 a.C."
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Gaius Licinius Macer"
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Gaius Licinius Macer v82-v47"
A4701,"Calvus, C. Licinius Macer",Latin,"Calvus, Licinius Macer"
A4701,"Calvus, C. Licinius Macer",Latin,"Licinius Macer, Gaius"
A4702,"Stephanus, de Varda",Latin,Stephani de Varda
A4702,"Stephanus, de Varda",Latin,Stephanus de Varda
A4702,"Stephanus, de Varda",Latin,"Stephanus, de Varda"
A4702,"Stephanus, de Varda",Latin,"Stehhanus, du Varda"
A4702,"Stephanus, de Varda",Latin,Stephanus de Varda
A4702,"Stephanus, de Varda",Latin,"Stephanus, de Varda"
A4702,"Stephanus, de Varda",Latin,"Stephanun, de Varda"
A4702,"Stephanus, de Varda",Latin,Stephani de Varda
A4703,"Balde, Jakob",Latin,"Balde, Jacob, 1604-1668"
A4703,"Balde, Jakob",Latin,"Balde, Jacobus SJ 1604-1668"
A4703,"Balde, Jakob",Latin,"Balde, Jacobus, 1604-1668"
A4703,"Balde, Jakob",Latin,"Balde, Jacques, 1604-1668"
A4703,"Balde, Jakob",Latin,"Balde, Jakob, 1604-1668."
A4703,"Balde, Jakob",Latin,"Balde, Jakob, S.I., 1603-1668"
A4703,"Balde, Jakob",Latin,Iacobus Balde
A4703,"Balde, Jakob",Latin,Jacob Balde
A4704,"Boym, Michał",Latin,"Boym, Michael, 1612-1659"
A4704,"Boym, Michał",Latin,"Boym, Michael, S.I., 1612-1659"
A4704,"Boym, Michał",Latin,"Boym, Michał (ok. 1614-1659)"
A4704,"Boym, Michał",Latin,"Boym, Michał Piotr"
A4704,"Boym, Michał",Latin,"Boym, Michał Piotr, 1612-1659"
A4704,"Boym, Michał",Latin,"Boym, Michał, 1612-1659"
A4704,"Boym, Michał",Latin,"Boym, Michal, 1612-1659, S.J."
A4704,"Boym, Michał",Latin,"Boym, Michel, 1612-1659"
A4704,"Boym, Michał",Latin,Michael Boym
A4704,"Boym, Michał",Latin,Michaelis Boym
A4704,"Boym, Michał",Latin,Michał Boym
A4704,"Boym, Michał",Latin,Michał Piotr Boym
A4705,"Owen, John",Latin,Ioannes Audoenus
A4705,"Owen, John",Latin,"Oven, Juan"
A4705,"Owen, John",Latin,"Owen, John"
A4705,"Owen, John",Latin,"Owen, John, 1560?-1622"
A4705,"Owen, John",Latin,"Owen, John, fl. 1560-1622"
A4705,"Owen, John",Latin,"Oven, Juan"
A4705,"Owen, John",Latin,Ioannes Audoenus
A4705,"Owen, John",Latin,"Owen, John, 1560?-1622"
A4705,"Owen, John",Latin,"Owen, John, fl. 1560-1622"
A4705,"Owen, John",Latin,"Owen, John"
A4706,"May, Thomas",Latin,Thomas Maius
A4706,"May, Thomas",Latin,"Thomas May English poet, dramatist and historian 1595-1650"
A4706,"May, Thomas",Latin,"Thomas May English poet, dramatist and historian 1595-1650"
A4706,"May, Thomas",Latin,"Thomas pay English poat, dramatist and historian 1595-1650"
A4706,"May, Thomas",Latin,"Thomas May English pset, dramatist and historian 1595-1650"
A4706,"May, Thomas",Latin,"Thomas May English poet, dramatist anv historian 1595-1650"
A4706,"May, Thomas",Latin,"Thomas May English poet, drammtist and historian 1595-1650"
A4706,"May, Thomas",Latin,Thomas Maius
A4707,"Melancthon, Philipp",Latin,"Melanchthon, P. 1497-1560 Philipp"
A4707,"Melancthon, Philipp",Latin,"Melanchthon, Philip, 1497-1560"
A4707,"Melancthon, Philipp",Latin,"Melanchthon, Philipp"
A4707,"Melancthon, Philipp",Latin,"Melanchthon, Philipp, pseudonüüm, 1497-1560."
A4707,"Melancthon, Philipp",Latin,"Melanchthon, Philippus, 1497-1560"
A4707,"Melancthon, Philipp",Latin,"Mélanchton, Philippe, 1497-1560"
A4707,"Melancthon, Philipp",Latin,"Melanchton, Philippus, 1497-1560"
A4707,"Melancthon, Philipp",Latin,"Melancthon, Philipp"
A4707,"Melancthon, Philipp",Latin,"Melanthon, Philippus, 1497-1560"
A4707,"Melancthon, Philipp",Latin,"Melantone, Filippo, 1497-1560"
A4707,"Melancthon, Philipp",Latin,Philip Melanchthon
A4707,"Melancthon, Philipp",Latin,Philipp Melanchton
A4707,"Melancthon, Philipp",Latin,Philipp Schwartzerdt
A4707,"Melancthon, Philipp",Latin,Philippus Melanchthon
A4707,"Melancthon, Philipp",Latin,"Schwarzerd, Philipp, 1497-1560"
A4708,"Spinoza, Benedictus de",Latin,Benedictus de Spinoza
A4708,"Spinoza, Benedictus de",Latin,"de Spinoza, Benedictus"
A4708,"Spinoza, Benedictus de",Latin,"Espinosa, Bento de, 1632-1677"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, B. de 1632-1677 Benedictus de"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Baruch"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Baruch de"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Baruch de, 1632-1677"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Baruch, 1632-1677"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Benedict de, 1632-1677"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Benedictus de (Dutch philosopher and writer, 1632-1677)"
A4708,"Spinoza, Benedictus de",Latin,"Spinoza, Benedictus de 1632-1677"
