"Variant","Authorized Name","DLL Identifier (Author)"
"aethelwulf, fl. 803","aethelwulf, active 803","A4200"
"aethelwulfus lindisfarnensis ca. um 805","aethelwulf, active 803","A4200"
"rimbert","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert helgen, erkebiskop av bremen","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert saint 0830?-0888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, 0830?-0888, saint","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, archevêque de hambourg et de brême, saint","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, helgon, ärkebiskop av hamburg-bremen, d. 888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, hl., -888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, saint, archbishop of hamburg and bremen, ca. 830-888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, santo, 830-888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbert, z brém-hamburku, svatý, asi 830-888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbertus archiepiscopus catholicus","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbertus hamburgensis","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbertus hamburgensis (święty","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"830-888).","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbertus hamburgensis 830-888)","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"rimbertus hamburgensis, s., m. 888","rimbert, saint, archbishop of hamburg and bremen, approximately 830-888","A4201"
"bartholomaeus casaus","casas, bartolomé de las, 1484-1566","A4202"
"casas, b. de las 1474-1566 bartolomé de las","casas, bartolomé de las, 1484-1566","A4202"
"casas, bartolomé de las","casas, bartolomé de las, 1484-1566","A4202"
"casas, bartolomé de las, -1566","casas, bartolomé de las, 1484-1566","A4202"
"casas, bartolomé de las, 1474-1566","casas, bartolomé de las, 1484-1566","A4202"
"casas, bartolomé de las, 1484-1566","casas, bartolomé de las, 1484-1566","A4202"
"casas, bartolomé de las, vesc. di chiapa, 1474-1566","casas, bartolomé de las, 1484-1566","A4202"
"las casas, bartolomé de","casas, bartolomé de las, 1484-1566","A4202"
"las casas, bartolomé de, 1474-1566, o.p.","casas, bartolomé de las, 1484-1566","A4202"
"las casas, bartolomé de, 1474-1566.","casas, bartolomé de las, 1484-1566","A4202"
"cornelius iansenius","jansenius, cornelius, 1585-1638","A4203"
"cornelius jansen","jansenius, cornelius, 1585-1638","A4203"
"cornelius otto jansenius","jansenius, cornelius, 1585-1638","A4203"
"jansen, cornelis, 1585-1638","jansenius, cornelius, 1585-1638","A4203"
"jansen, cornelis, vesc. di ypres, 1585-1638","jansenius, cornelius, 1585-1638","A4203"
"jansen, cornelius, 1585-1638.","jansenius, cornelius, 1585-1638","A4203"
"jansenius, cornelius","jansenius, cornelius, 1585-1638","A4203"
"jansenius, cornelius, bisschop van ieper, 1585-1638","jansenius, cornelius, 1585-1638","A4203"
"jansenius, cornelius, vesc. di ypres, 1585-1638","jansenius, cornelius, 1585-1638","A4203"
"ælfwald ii""","elfwald ii, king of northumbria, active 806-808","A4204"
"ælfwfld ii""","elfwald ii, king of northumbria, active 806-808","A4204"
"ælfaald ii""","elfwald ii, king of northumbria, active 806-808","A4204"
"æmfwald ii""","elfwald ii, king of northumbria, active 806-808","A4204"
"ælfwald vi""","elfwald ii, king of northumbria, active 806-808","A4204"
"æxlwald ii""","elfwald ii, king of northumbria, active 806-808","A4204"
"ælfwajd ii""","elfwald ii, king of northumbria, active 806-808","A4204"
"stephan stieröchsel (1480k–1519) gyulafehérvári kanonok","stieröxel, istván, approximately 1485-1519","A4205"
"stephanus taurinus olomucensis","stieröxel, istván, approximately 1485-1519","A4205"
"stieröxel, istván 1485-1519","stieröxel, istván, approximately 1485-1519","A4205"
"taurinus olomucensis, stephanus, ca. 1485-1519","stieröxel, istván, approximately 1485-1519","A4205"
"taurinus, stephanus (około 1485-1519).","stieröxel, istván, approximately 1485-1519","A4205"
"taurinus, stephanus 1485-1519","stieröxel, istván, approximately 1485-1519","A4205"
"taurinus, stephanus, c. 1485-1519","stieröxel, istván, approximately 1485-1519","A4205"
"de groot, hugo 1583-1645","grotius, hugo, 1583-1645","A4206"
"groot, hugo de, 1583-1645","grotius, hugo, 1583-1645","A4206"
"groot, huig de, 1583-1645","grotius, hugo, 1583-1645","A4206"
"grotius, h. 1583-1645 hugo","grotius, hugo, 1583-1645","A4206"
"grotius, hugo","grotius, hugo, 1583-1645","A4206"
"grotius, hugo, 1583-1645","grotius, hugo, 1583-1645","A4206"
"grotius, hugo, 1583-1645.","grotius, hugo, 1583-1645","A4206"
"grozio, ugo, 1583-1645","grotius, hugo, 1583-1645","A4206"
"hugo de groot","grotius, hugo, 1583-1645","A4206"
"hugo grotius","grotius, hugo, 1583-1645","A4206"
"hugo grotius delphiensis","grotius, hugo, 1583-1645","A4206"
"adam cartusiensis/ adam scotus","adam, scotus, approximately 1130-1212","A4207"
"adam dryburgh","adam, scotus, approximately 1130-1212","A4207"
"adam l'écossais, 115.?-1212","adam, scotus, approximately 1130-1212","A4207"
"adam of dryburgh","adam, scotus, approximately 1130-1212","A4207"
"adam scotus, vesc. di galloway, c. 1150-1212","adam, scotus, approximately 1130-1212","A4207"
"adam, scotus, ca. 1140-1212","adam, scotus, approximately 1130-1212","A4207"
"adamus ca. 1127/40-1212 scotus","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus (ok. 1150-1212)","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus (około 1150-około 1212).","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus c. 1150-1212 vesc. di galloway","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus ca. 1127/40-1212","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus ок.1150-1212","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus, 1150-1212","adam, scotus, approximately 1130-1212","A4207"
"adamus scotus, činný 12. století","adam, scotus, approximately 1130-1212","A4207"
"adamus, scotus, ca. 1150-1212","adam, scotus, approximately 1130-1212","A4207"
"boberfeld, martin opitz von, 1597-1639","opitz, martin, 1597-1639","A4208"
"martin opitz","opitz, martin, 1597-1639","A4208"
"martin opitz deutscher dichter des barock","opitz, martin, 1597-1639","A4208"
"martin opitz von boberfeld","opitz, martin, 1597-1639","A4208"
"martinus opitz","opitz, martin, 1597-1639","A4208"
"opitz, martin","opitz, martin, 1597-1639","A4208"
"opitz, martin, 1597-1639","opitz, martin, 1597-1639","A4208"
"opitz, martin, 1597-1639.","opitz, martin, 1597-1639","A4208"
"anscario 801-865 santo","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"anschaire, 0801-0865, saint","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"anscharius","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"anscharius archiepiscopus catholicus","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"anscharius, hamburgensis","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"ansgar","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"ansgar helgen, erkebiskop av bremen","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"ansgar, ca. 801-865","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"ansgar, saint","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"ansgar, saint, archbishop of hamburg and bremen, ca. 801-865","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"oskar (święty","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"801-865)","ansgar, saint, archbishop of hamburg and bremen, approximately 801-865","A4209"
"adam easton","easton, adam, -1397","A4210"
"adam easton catholic cardinal","easton, adam, -1397","A4210"
"adamus easton -1397","easton, adam, -1397","A4210"
"easton adamus","easton, adam, -1397","A4210"
"easton, adam","easton, adam, -1397","A4210"
"easton, adam, 1330?-1397","easton, adam, -1397","A4210"
"easton, adam, asi 1330-1397","easton, adam, -1397","A4210"
"easton, adam, ca. 1330-1397","easton, adam, -1397","A4210"
"easton, adam, card., c. 1330-1397","easton, adam, -1397","A4210"
"marin mersenne religieux français appartenant à l'ordre des minimes, érudit, mathématicien et philosophe","mersenne, marin, 1588-1648","A4211"
"marinus mersennus","mersenne, marin, 1588-1648","A4211"
"mersenne, marin","mersenne, marin, 1588-1648","A4211"
"mersenne, marin om 1588-1648","mersenne, marin, 1588-1648","A4211"
"mersenne, marin, 1588-1648","mersenne, marin, 1588-1648","A4211"
"mersenne, marin, 1588-1648, o.f.m.","mersenne, marin, 1588-1648","A4211"
"mersenne, marin, 1588-1648.","mersenne, marin, 1588-1648","A4211"
"mersenne, marin, o.m., 1588-1648","mersenne, marin, 1588-1648","A4211"
"mersenne, martin, o.m., 1588-1648","mersenne, marin, 1588-1648","A4211"
"mersennus, marin, o.m., 1588-1648","mersenne, marin, 1588-1648","A4211"
"odd snorrason the learned","oddr snorrason, active 12th century","A4212"
"oddr múnkr","oddr snorrason, active 12th century","A4212"
"oddr snorrason","oddr snorrason, active 12th century","A4212"
"oddr snorrason (1150?-1200)","oddr snorrason, active 12th century","A4212"
"oddr snorrason (około 1150-1200).","oddr snorrason, active 12th century","A4212"
"oddr snorrason ca 1150-1200","oddr snorrason, active 12th century","A4212"
"oddr snorrason, 12th cent.","oddr snorrason, active 12th century","A4212"
"oddr snorrason#múnkr#, 12e eeuw","oddr snorrason, active 12th century","A4212"
"oddur snorrason","oddr snorrason, active 12th century","A4212"
"oddur snorrason 1150?-1200 (munkur)","oddr snorrason, active 12th century","A4212"
"oddur snorrason, 115.-....","oddr snorrason, active 12th century","A4212"
"oddur snorrason, ca. 1150-1200","oddr snorrason, active 12th century","A4212"
"cornelius iansenius hulstensis","jansenius, cornelius, 1510-1576","A4213"
"cornelius jansen, the elder","jansenius, cornelius, 1510-1576","A4213"
"iansenius, cornelius, vesc. di gent, 1510-1576","jansenius, cornelius, 1510-1576","A4213"
"iensenius, cornelius (1510-1576)","jansenius, cornelius, 1510-1576","A4213"
"jansen, cornelis","jansenius, cornelius, 1510-1576","A4213"
"jansen, cornelis, 1510-1576","jansenius, cornelius, 1510-1576","A4213"
"jansen, cornelis, vesc. di gent, 1510-1576","jansenius, cornelius, 1510-1576","A4213"
"jansenius, cornelius, eerste bisschop van gent, 1510-1576","jansenius, cornelius, 1510-1576","A4213"
"giulio cesare russo","lawrence, of brindisi, saint, 1559-1619","A4214"
"laurent de brindes, 1559-1619, saint","lawrence, of brindisi, saint, 1559-1619","A4214"
"laurentius a brindisi, s., 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"laurentius a brundusio, s., 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"laurentius de brundisiis","lawrence, of brindisi, saint, 1559-1619","A4214"
"laurentius von brindisi 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"lawrence 1559-1619 of brindisi, saint,","lawrence, of brindisi, saint, 1559-1619","A4214"
"llorenç, de bríndisi, sant, 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo : da brindisi  <santo>","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo da brindisi helgen","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo da brindisi presbitero, teologo e santo italiano appartenente all'ordine dei frati minori cappuccini","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo da brindisi, helgon, 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo da brindisi, s., 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo da brindisi, santo, 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"lorenzo, de brindisi, santo, 1559-1619","lawrence, of brindisi, saint, 1559-1619","A4214"
"russi, giulio cesare (lorenzo da brindisi)","lawrence, of brindisi, saint, 1559-1619","A4214"
"saint lawrence of brindisi","lawrence, of brindisi, saint, 1559-1619","A4214"
"wawrzyniec z brindisi (święty","lawrence, of brindisi, saint, 1559-1619","A4214"
"1559-1619).","lawrence, of brindisi, saint, 1559-1619","A4214"
"becken, laevinus van der, vesc. di anvers, 1525-1595","torrentius, laevinus, 1525-1595","A4215"
"laevinus torrentius","torrentius, laevinus, 1525-1595","A4215"
"laevinus torrentius episcopus catholicus","torrentius, laevinus, 1525-1595","A4215"
"lieven van der beke","torrentius, laevinus, 1525-1595","A4215"
"torrencio, levinio 1525-1595","torrentius, laevinus, 1525-1595","A4215"
"torrentius, laevinus","torrentius, laevinus, 1525-1595","A4215"
"torrentius, laevinus, vesc. di anvers, 1525-1595","torrentius, laevinus, 1525-1595","A4215"
"de halewyn, georges 1470-1536?","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"de halewyn, georges, 1473-1536","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"georges de halewyn","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"halewyn, georges de 1470-1536","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"halewyn, georges de apie 1470-1536 ar 7","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"halewyn, georges de ca1470-ca1536","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"halewyn, georges de, approximately 1470-1536 or 7","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"halewyn, georges de, ca. 1470-ca. 1536","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"haloinus, georgius","halewyn, georges de, approximately 1470-1536 or 1537","A4216"
"bernard zamanja hrvatski svećenik, helenist, novolatinski pjesnik, prevodilac","zamagna, bernardo, 1735-1820","A4217"
"bernardus zamagna","zamagna, bernardo, 1735-1820","A4217"
"zamagna, bernardo","zamagna, bernardo, 1735-1820","A4217"
"zamagna, bernardo 1735-1820 s.i.","zamagna, bernardo, 1735-1820","A4217"
"zamagna, bernardo, 1735-1820, s.j.","zamagna, bernardo, 1735-1820","A4217"
"zamagna, bernardo, s.i., 1735-1820","zamagna, bernardo, 1735-1820","A4217"
"zamanja, brno","zamagna, bernardo, 1735-1820","A4217"
"iohannes rusbrochius","ruusbroec, jan van 1293-1381","A4218"
"jan ruysbrock (błogosławiony","ruusbroec, jan van 1293-1381","A4218"
"1293-1381)","ruusbroec, jan van 1293-1381","A4218"
"jan ruysbroeck (błogosławiony","ruusbroec, jan van 1293-1381","A4218"
"1293-1381).","ruusbroec, jan van 1293-1381","A4218"
"jan van ruusbroec","ruusbroec, jan van 1293-1381","A4218"
"jan van ruusbroec vlaams mysticus (1293-1381)","ruusbroec, jan van 1293-1381","A4218"
"jan van ruusbroec, 1293?-1381","ruusbroec, jan van 1293-1381","A4218"
"john of ruusbroec","ruusbroec, jan van 1293-1381","A4218"
"juan ruysbroeck, beato 1293-1381","ruusbroec, jan van 1293-1381","A4218"
"ruusbroec, j. v 1294-1381","ruusbroec, jan van 1293-1381","A4218"
"ruusbroec, j. v. 1294-1381 jan van","ruusbroec, jan van 1293-1381","A4218"
"ruusbroec, jan van","ruusbroec, jan van 1293-1381","A4218"
"ruusbroec, jan van, 1293-1381","ruusbroec, jan van 1293-1381","A4218"
"ruysbroeck, jan van","ruusbroec, jan van 1293-1381","A4218"
"ruysbroeck, jan van, 1293-1381.","ruusbroec, jan van 1293-1381","A4218"
"van ruusbroec, jan","ruusbroec, jan van 1293-1381","A4218"
"nielsen, tue","nielsen, tue, approximately 1400-1472","A4219"
"nielsen, tue, environ 1400-1472","nielsen, tue, approximately 1400-1472","A4219"
"nielsen, tuve, arciv. di lund, m. 1472","nielsen, tue, approximately 1400-1472","A4219"
"thuo de vibergia","nielsen, tue, approximately 1400-1472","A4219"
"thuo de vibergia, 1400?-1472","nielsen, tue, approximately 1400-1472","A4219"
"thuo nicolai de vibergia -1472","nielsen, tue, approximately 1400-1472","A4219"
"thuo nicolai de vibergia (około 1400-1472).","nielsen, tue, approximately 1400-1472","A4219"
"thuo, de vibergia","nielsen, tue, approximately 1400-1472","A4219"
"thuo, de vibergia, 15e eeuw","nielsen, tue, approximately 1400-1472","A4219"
"tuve nielsen","nielsen, tue, approximately 1400-1472","A4219"
"adam de eynsham, 1196-1232","adam, of eynsham, active 1196-1232","A4220"
"adam eynshamensis abbas, lincolniensis monachus","adam, of eynsham, active 1196-1232","A4220"
"adam eynshamensis abbed av evesham","adam, of eynsham, active 1196-1232","A4220"
"adam of eynsham","adam, of eynsham, active 1196-1232","A4220"
"adam of eynsham, 1196-1232","adam, of eynsham, active 1196-1232","A4220"
"adam, abbé d'eynsham","adam, of eynsham, active 1196-1232","A4220"
"adam, of eynsham, fl. 1196-1232","adam, of eynsham, active 1196-1232","A4220"
"adamus de einesham 1196-1232","adam, of eynsham, active 1196-1232","A4220"
"adamus eyneshamensis","adam, of eynsham, active 1196-1232","A4220"
"adamus eyneshamensis, 1196-1232","adam, of eynsham, active 1196-1232","A4220"
"adamus eynshamensis abbas","adam, of eynsham, active 1196-1232","A4220"
"oláh miklós","oláh, miklós, 1493-1568","A4221"
"oláh, m. 1493-1568 miklós","oláh, miklós, 1493-1568","A4221"
"oláh, miklós","oláh, miklós, 1493-1568","A4221"
"oláh, miklós, arciv. di esztegom, 1493-1568","oláh, miklós, 1493-1568","A4221"
"olahus, nicolaus, 1493-1568","oláh, miklós, 1493-1568","A4221"
"olahus, nicolaus, arciv. di esztegom, 1493-1568","oláh, miklós, 1493-1568","A4221"
"iohannes‏ ‎schweickhofer","schweickhofer, johannes","A4222"
"johannes schweickhofer","schweickhofer, johannes","A4222"
"john schweickhofer","schweickhofer, johannes","A4222"
"schweickhofer, johannes","schweickhofer, johannes","A4222"
"schweickhofer, johannes -1572","schweickhofer, johannes","A4222"
"nicolaus ragvaldi","ragvaldsson, nils","A4223"
"nicolaus ragvaldi the younger","ragvaldsson, nils","A4223"
"nils ragvaldsson","ragvaldsson, nils","A4223"
"nicolaus ragvjldi","ragvaldsson, nils","A4223"
"nicolaus ratvalhi","ragvaldsson, nils","A4223"
"victorinus","victorinus poeta","A4224"
"victorinus poeta ca. 5. jh. oder 8./9. jh.","victorinus poeta","A4224"
"victorious","victorinus poeta","A4224"
"victorinhs","victorinus poeta","A4224"
"viccorinns","victorinus poeta","A4224"
"victorknuj","victorinus poeta","A4224"
"calvijn, johannes (jean), 1509-1564","calvin, jean, 1509-1564","A4225"
"calvin, j. 1509-1564 jean","calvin, jean, 1509-1564","A4225"
"calvin, jean","calvin, jean, 1509-1564","A4225"
"calvin, jean (french theologian and reformer, 1509-1564)","calvin, jean, 1509-1564","A4225"
"calvin, jean, 1509-1564","calvin, jean, 1509-1564","A4225"
"calvin, jean, 1509-1564.","calvin, jean, 1509-1564","A4225"
"calvin, johann, 1509-1564.","calvin, jean, 1509-1564","A4225"
"calvino, giovanni, 1509-1564","calvin, jean, 1509-1564","A4225"
"calvino, jean","calvin, jean, 1509-1564","A4225"
"calvino, joão, 1509-1564","calvin, jean, 1509-1564","A4225"
"cauvin, jean, 1509-1564","calvin, jean, 1509-1564","A4225"
"ioannes calvinus","calvin, jean, 1509-1564","A4225"
"jean calvin","calvin, jean, 1509-1564","A4225"
"john calvin","calvin, jean, 1509-1564","A4225"
"kalvín, jan, 1509-1564","calvin, jean, 1509-1564","A4225"
"kalwin, jan (1509-1564)","calvin, jean, 1509-1564","A4225"
"gassendi, p. 1592-1655 pierre","gassendi, pierre, 1592-1655","A4226"
"gassendi, pierre","gassendi, pierre, 1592-1655","A4226"
"gassendi, pierre gassend, dit gassendi","gassendi, pierre, 1592-1655","A4226"
"gassendi, pierre, 1592-1655","gassendi, pierre, 1592-1655","A4226"
"gassendi, pierre, 1592-1655.","gassendi, pierre, 1592-1655","A4226"
"petrus gassendus","gassendi, pierre, 1592-1655","A4226"
"biagio pelacani da parma","pelacani da parma, biagio, approximately 1347-1416","A4227"
"biagio pelacani italiensk matematiker","pelacani da parma, biagio, approximately 1347-1416","A4227"
"biagio pelacani, da parma, ca. 1347-1416","pelacani da parma, biagio, approximately 1347-1416","A4227"
"blaise, de parme, environ 1347-1416","pelacani da parma, biagio, approximately 1347-1416","A4227"
"blasius de parma","pelacani da parma, biagio, approximately 1347-1416","A4227"
"blasius de parma, 1347-1416","pelacani da parma, biagio, approximately 1347-1416","A4227"
"blasius parmensis","pelacani da parma, biagio, approximately 1347-1416","A4227"
"blasius parmensis 1347-1416","pelacani da parma, biagio, approximately 1347-1416","A4227"
"blasius, de parma","pelacani da parma, biagio, approximately 1347-1416","A4227"
"pelacani, biagio, c. 1347-1416","pelacani da parma, biagio, approximately 1347-1416","A4227"
"pelicanis, blasius de","pelacani da parma, biagio, approximately 1347-1416","A4227"
"anonymus scotus ca. 7. jh.","scotus anonymus","A4228"
"anonymus scopuy ca. 7. jh.","scotus anonymus","A4228"
"anonymus scotus ca. 7. dh.","scotus anonymus","A4228"
"anonypux scotus ca. 7. jh.","scotus anonymus","A4228"
"anonyuus scotus ca. 7. jh.","scotus anonymus","A4228"
"ahonymus scotus ca. 7. jh.","scotus anonymus","A4228"
"anonymus scotus ca. 7. gh.","scotus anonymus","A4228"
"andreä, j. v. 1586 -1654 johann valentin","andreä, johann valentin, 1586-1654","A4229"
"andreä, johann valentin","andreä, johann valentin, 1586-1654","A4229"
"andreä, johann valentin, 1586-1654","andreä, johann valentin, 1586-1654","A4229"
"andreae, johan valentin","andreä, johann valentin, 1586-1654","A4229"
"andreae, johann valentin","andreä, johann valentin, 1586-1654","A4229"
"andreæ, johann valentin (johann valentin), 1586-1654","andreä, johann valentin, 1586-1654","A4229"
"andreae, johann valentin, 1586-1654.","andreä, johann valentin, 1586-1654","A4229"
"iohannes valentinus andreae","andreä, johann valentin, 1586-1654","A4229"
"johann valentin andreae","andreä, johann valentin, 1586-1654","A4229"
"faltonia proba, 4e eeuw","proba","A4231"
"proba faltonia, b.","proba","A4231"
"proba petronia","proba","A4231"
"proba, falconia (około 322-około 370).","proba","A4231"
"proba, faltonia b., 03..-04..","proba","A4231"
"proba, faltonia betitia‏","proba","A4231"
"proba, faltonia betitia ca. 4. jh.","proba","A4231"
"proba, faltonia betitia ca. 4./5. jh","proba","A4231"
"proba, faltonia betitia, 300-talet","proba","A4231"
"proba, faltonia petita, sec. iv","proba","A4231"
"proba, faltonia, ca. 322-ca. 370","proba","A4231"
"flavius theodosius","theodosius i, emperor of rome","A4232"
"flavius theodosius augustus","theodosius i, emperor of rome","A4232"
"teodosi i, emperador de roma, aproximadament 347-395","theodosius i, emperor of rome","A4232"
"teodosio i, emperador de roma, 347-395","theodosius i, emperor of rome","A4232"
"teodozjusz i wielki (cesarz rzymski","theodosius i, emperor of rome","A4232"
"347-395)","theodosius i, emperor of rome","A4232"
"théodose i, 0347?-0395, empereur romain","theodosius i, emperor of rome","A4232"
"théodose i, empereur romain, 347-395","theodosius i, emperor of rome","A4232"
"theodosius i de grote, romeins keizer, 347-395","theodosius i, emperor of rome","A4232"
"theodosius i romersk keiser 347-395","theodosius i, emperor of rome","A4232"
"théodosius i, empereur romain, 347?-395","theodosius i, emperor of rome","A4232"
"theodosius i, magnus, imperatore romano, 347-395","theodosius i, emperor of rome","A4232"
"theodosius i, rimski car","theodosius i, emperor of rome","A4232"
"theodosius i, romersk kejsare, 346-395","theodosius i, emperor of rome","A4232"
"theodosius i. römisches reich, kaiser 347-395","theodosius i, emperor of rome","A4232"
"theodosius i., římský císař, 347-395","theodosius i, emperor of rome","A4232"
"theodosius император римский i 347-395","theodosius i, emperor of rome","A4232"
"victorius aquitanus 04..-04..?","victorius, aquitanus","A4233"
"victorius aquitanus, sec. v","victorius, aquitanus","A4233"
"victorius of aquitaine","victorius, aquitanus","A4233"
"victorius, aquitanus","victorius, aquitanus","A4233"
"victorius, aquitanus, 5e eeuw","victorius, aquitanus","A4233"
"alexander smarius crispus","smarius, alexander","A4234"
"alexander smarius philologus nederlandicus, poeta latinus","smarius, alexander","A4234"
"smarius, alexander, 1970-","smarius, alexander","A4234"
"asexander smarius philologus nederlandicus, poeta latinus","smarius, alexander","A4234"
"blesander smarius philologus nederlandicus, poeta latinus","smarius, alexander","A4234"
"campanella, tommaso","campanella, tommaso, 1568-1639","A4235"
"campanella, tommaso 1568-1639 o.p.","campanella, tommaso, 1568-1639","A4235"
"campanella, tommaso op 1568-1639","campanella, tommaso, 1568-1639","A4235"
"campanella, tommaso, 1568-1639.","campanella, tommaso, 1568-1639","A4235"
"campanella, tommaso, o.p., 1568-1639","campanella, tommaso, 1568-1639","A4235"
"giovanni‏ domenico campanella","campanella, tommaso, 1568-1639","A4235"
"ioannes dominicus campanella","campanella, tommaso, 1568-1639","A4235"
"thomas campanella","campanella, tommaso, 1568-1639","A4235"
"tommaso campanella","campanella, tommaso, 1568-1639","A4235"
"hans hildebrandes","hildebrandi, johannes, -1454","A4236"
"hildebrandi, johannes 1380-1454","hildebrandi, johannes, -1454","A4236"
"johannes hildebrandi, 1380?-1454","hildebrandi, johannes, -1454","A4236"
"johannes hildebrandi, ca 1380-1454","hildebrandi, johannes, -1454","A4236"
"angelo sani di cure","sabellico, 1436?-1506","A4237"
"aulus sabinus","sabellico, 1436?-1506","A4237"
"cocceius, marcus antonius","sabellico, 1436?-1506","A4237"
"sabélico, 1436-1506","sabellico, 1436?-1506","A4237"
"sabellico, 1436?-1506","sabellico, 1436?-1506","A4237"
"sabellico, marco antonio","sabellico, 1436?-1506","A4237"
"sabellico, marco antonio apie 1436–1506","sabellico, 1436?-1506","A4237"
"sabellico, marco antonio coccio, 1436-1506","sabellico, 1436?-1506","A4237"
"sabellico, marco antonio coccio, u.1436-1506.","sabellico, 1436?-1506","A4237"
"sabellico, marco antonio, 1436-1506","sabellico, 1436?-1506","A4237"
"sabellico, marco antonio, ca. 1436-1506","sabellico, 1436?-1506","A4237"
"sabellicus, marcus antonius","sabellico, 1436?-1506","A4237"
"sabellicus, marcus antonius 1436-1506","sabellico, 1436?-1506","A4237"
"sabellicus, marcus antonius coccius, ca. 1436-1506","sabellico, 1436?-1506","A4237"
"quintus serenus sammonicus","serenus sammonicus, quintus","A4238"
"sammonicus, quintus serenus","serenus sammonicus, quintus","A4238"
"sammonicus, quintus serenus, ?-212","serenus sammonicus, quintus","A4238"
"sereno samonico, quinto","serenus sammonicus, quintus","A4238"
"sereno samónico, quinto","serenus sammonicus, quintus","A4238"
"serenus sammonicus","serenus sammonicus, quintus","A4238"
"serenus sammonicus -212","serenus sammonicus, quintus","A4238"
"serenus sammonicus (?-211)","serenus sammonicus, quintus","A4238"
"serenus sammonicus, quintus","serenus sammonicus, quintus","A4238"
"serenus sammonicus, quintus, 02..?-02..?","serenus sammonicus, quintus","A4238"
"serenus sammonicus, quintus, 200-talet","serenus sammonicus, quintus","A4238"
"serenus sammonicus, quintus, sec. iii","serenus sammonicus, quintus","A4238"
"serenus sammonicus, quintus.","serenus sammonicus, quintus","A4238"
"serenus samonicus, quintus, 3e eeuw","serenus sammonicus, quintus","A4238"
"serenus, quintus","serenus sammonicus, quintus","A4238"
"serenus, quintus sammonicus ( -212).","serenus sammonicus, quintus","A4238"
"andreis, matej","andronicus, matthaeus","A4239"
"andreis, matteo","andronicus, matthaeus","A4239"
"andronicus tragurinus, matthaeus","andronicus, matthaeus","A4239"
"andronicus, matthaeus","andronicus, matthaeus","A4239"
